# 文本key,文本value
Child_Inherit_Panel_2,「The base attributes and abilities of the offspring are determined by both parents」\\n「Stronger parents give offspring more attribute points to allocate」 
Child_Inherit_Prop_Point_Num,Remaining attribute points · {0}
Child_State_Desc_0,Нерожденный
Child_State_Desc_1,Новорожденный
Child_State_Desc_2,Младенчество
Child_State_Desc_3,Раннее детство
Child_State_Desc_4,Детство
Child_State_Desc_5,Взрослость
Combat_Result_Message_0,{0}После тщательного размышления я решил оглушить вас
Combat_Result_Message_1,{0}После тщательного размышления я решил сломать тебе ноги
Combat_Result_Message_10,{0}решает закрыть тебя в подземелье и проткнуть костью лютни
Combat_Result_Message_11,"{0}Решил заточить вас в темнице и проткнуть кость лютни, в ожидании обезглавливания"
Combat_Result_Message_2,{0}После тщательного размышления я решил блокировать ваши боевые искусства
Combat_Result_Message_3,{0}После тщательного рассмотрения мы решили попросить вас предоставить нам товары
Combat_Result_Message_4,"{0}После тщательного размышления я решил пощадить вас, и мое расположение к вам ухудшелось"
Combat_Result_Message_5,{0}Хорошо подумав мы решили помочь вам вылечиться
Combat_Result_Message_7,{0}Решил принять штраф
Combat_Result_Message_8,{0}Решил покалечить тебе ноги и забрать штраф
Combat_Result_Message_9,{0}Решил закрыть тебя в подземелье
Combat_Type_Combat,Начать битву
Combat_Type_QiCuo,Начать спарринг
Combat_target_die_message,"Этот  может убить противника, выберите слабый навык, чтобы спасти себе жизнь."
Common_AI_Cur,В данный момент
Common_Abandon,Отказаться
Common_Ability,Способность
Common_AbilityLevelOff,Уровень Leechcraft целителя слишком низок. Невозможно вылечить.
Common_AbilityLevelOn,Доступные лекарства: {0} | 
Common_Abolish_SomeOne,Вы отменили боевые искусства пользователя {0}
Common_Active,Активирован
Common_Add,Добавить
Common_Add_Attact,{0} увеличить {1}
Common_Agree,Соглашаться
Common_All,Все
Common_All_2,Всего
Common_Allow,Разрешить
Common_Alms_SomeOne,Вы пожертвовали несколько вещей в пользу {0}
Common_Any_Sift,Любой ресурс
Common_Argument,словесная дуэль
Common_AttiToMe,Хорошее впечатление
Common_Attitude,Отношение
Common_Attitude_Down,Моя благосклонность к тебе уменьшилась
Common_Attitude_Down_1,Благоприятное впечатление {0} о {1} уменьшилось
Common_Attitude_Up,Моя симпатия к тебе возросла
Common_Attitude_Up_1,Благоприятное впечатление пользователя {0} о {1} увеличилось
Common_Back,Назад
Common_Be_WuLinLeader,Стал лидером альянса боевых искусств
Common_Blizzard,Метель
Common_Blow_Up,раздуть
Common_Born,Рождение
Common_BreakTianLao,Вы спасли другого культиватора и после многих препятствий сбежали из Призрачного храма…
Common_BreakTianLao_sp,Небесный Святой спас тебя и отправил обратно в Великие Дебри…
Common_Btn_Attitude,Позитивный настрой способствует:
Common_Btn_Cook,Готовка
Common_Btn_Equip,Ткачество
Common_Btn_Item,Создать
Common_Btn_Unlock,Разблокировать рецепт
Common_Btn_Weapon,Ковка
Common_But,Но
Common_Can_Submit,「Можно отправить」 
Common_Can_Submit_1,Подтвердить
Common_Cancel,Отмена
Common_Captive,Плен
Common_Character,Персонаж
Common_Choose,Выбор
Common_Choose_Building,Выберите строение
Common_Choose_Member,Выберите участников
Common_Choose_sth,Выберите элементы
Common_ClearSkies,Чистое небо
Common_Click,Клик
Common_Close,Закрыть
Common_Cloudy,Облачно
Common_Command,Объединяйтесь
Common_CommonCure,Обычный недуг
Common_Confirm,Подтвердить
Common_Continue,Продолжить
Common_Cook_Item,Готовить еду
Common_Cost,Стоимость
Common_CraftItem,Создать предмет
Common_Crafting,Создание...
Common_CreatPlayer,Создать персонажа
Common_Cripple_SomeOne,Вы обезврежены {0}
Common_Cultivate,Культивировать
Common_Cure,Лечение
Common_CureAllCommonCure,Вылечить все обычные недуги
Common_CureAllSpecialCure,Вылечить все особые недуги
Common_CureAllUnusualBuff,Вылечить все ослабления
Common_Cure_SomeOne,Вы лечили {0}
Common_Degree,Не соглашаться
Common_Delete,Удалить
Common_Delete_All,Удалить всё
Common_Design,Дизайн
Common_Destiny,Карма
Common_Easy,Легко
Common_Empty,Пусто
Common_Empty_Pos,Вакантное место
Common_Equip,Снаряжение
Common_Exit_Combat,Поражение
Common_Exit_Mini_Game,Сдаться
Common_Extra,Дополнительно
Common_Extra_Desc,「Неуязвимый」 
Common_Fabricator,(Придумано)
Common_Fade,Темнеет..…
Common_Fade_Sp,Спустя некоторое время...…
Common_Failed,Поражение
Common_Fake,Заброшенный
Common_Feed,Кормить
Common_Feeling,Дух
Common_Find_Somebody,Ищу кого-нибудь
Common_Find_Something,Ищу {0}
Common_Finish,Закончить
Common_Foggy,Сильный туман
Common_Food,Еда
Common_Forgive_SomeOne,Вы прощаете {0}
Common_Free,「Бесплатно」 
Common_FreeCriminal,По прошествии определенного периода времени ты был освобожден …
Common_FreeCriminal_NPC,Через некоторое время заключенный был освобожден…
Common_GarnishLock,Крафт не разблокирован
Common_Gender,Пол
Common_Get_Debuff,Получить дебафф
Common_Get_Sth,Выиграл
Common_Grab_SomeOne,"Ваш поиск {0} стал свидетелем, и новости распространились"
Common_Gu_Item,Червь Гу
Common_Half,Половина
Common_Hard,Сложно
Common_Has_Died,Душа возвращается к судьбе
Common_Has_Received,「Полученный」 
Common_He,Он
Common_Hold,Имеется
Common_Human_Num,{0}Человек
Common_In_Operating,В действии
Common_InputNum,Введите кол-во
Common_Input_XiuWei,ПОЗНАТЬ
Common_It,Это
Common_Item,Предметы
Common_JingMai,Меридианы
Common_Key_Up_DownTips,Клавиша верх и вниз
Common_KillHead,Пришло время спросить…
Common_Kill_SomeOne_InCombat,Вы нанесли сильный  по {0}
Common_Leave,Уйти
Common_Lessen,Показать
Common_Life_Title,Здоровье
Common_LightRain,Мелкий дождь
Common_LightSnow,Мелкий снег
Common_Load,Загрузка
Common_Lock,Не разблокирован
Common_Love_Title,Спать в одной кровати
Common_Lv_Num,Ур. {0}
Common_MapTag,Отметить местоположение
Common_Master,Опытный
Common_Max,Максимум
Common_Max_Feeling,Макс. дух
Common_Merit,Заслуги
Common_Min,Минимум
Common_Money,Деньги
Common_Monster_Name_1,I
Common_Monster_Name_10,X
Common_Monster_Name_11,XI
Common_Monster_Name_2,II
Common_Monster_Name_3,III
Common_Monster_Name_4,IV
Common_Monster_Name_5,V
Common_Monster_Name_6,VI
Common_Monster_Name_7,VII
Common_Monster_Name_8,VIII
Common_Monster_Name_9,IX
Common_Move_Item,Перемещение предмета
Common_Move_Restraint,Контрприёмы
Common_Move_To,Идти куда-нибудь
Common_Move_To_Building,Переместить в здание{0}
Common_Move_To_Other_Home,Иди к себе домой
Common_Move_To_Self_Home,Пойти к кому-то домой
Common_Name,Имя
Common_NeiGong,Нэйгун
Common_New,Новый
Common_Next_Page,Следующая страница
Common_None,Никто
Common_None_Owner,「Нет принадлежности」 
Common_Normal,Нормально
Common_Not_Comprehend,Не изучено
Common_Not_Name,Неизвестно
Common_Num_Btn,Клавиша
Common_Occupied,Занято
Common_On_Equiped,Оснащен
Common_Or,или
Common_Orphan,Сирота
Common_Other_Taget,Другая сторона
Common_Out_World,"Загадочная территория находится в стадии разработки, так что следите за обновлениями!"
Common_Over_Dis,Вне досягаемости
Common_Overcast,Пасмурно
Common_P_Attitude,Нравиться:
Common_Paper,Формула
Common_Paper_Cook,Рецепт готовки
Common_Paper_Equip,Рецепт ткачества
Common_Paper_Item,Создать рецепт
Common_Paper_Weapon,Рецепт ковки
Common_Place,Разместить
Common_Place_Item,Разместить предмет
Common_Player_Mine,Мой
Common_Player_Name,Я
Common_PoisonFog,Ядовитый туман
Common_Position,Расположение
Common_Pre_Page,Последний страница
Common_Preschooler,Детство
Common_Price,「Цена」 
Common_Price_1,Цена
Common_Prop,Атрибуты
Common_Put_Item,Положить подношения
Common_Rain,Дождь
Common_RainStorm,Ливень
Common_Random,Случайный
Common_Rarity_0,Обычная
Common_Rarity_1,Редкая
Common_Rarity_2,Отличная
Common_Reason,Причина
Common_Recycle,Выиграть
Common_Reduce,Уменьшить
Common_Refresh,Обновить
Common_Reject,Отклонить
Common_Relation,Связь
Common_Relation_Apply,У {0} и {1} глубокая ненависть
Common_Relation_Apply_300,У {0} и {1} глубокая ненависть
